"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes"
"823.92","014877356","Monograph","Language material ; Text","Volume","GBA904039","9780007300327","Bussell, Darcey","","person","","Bussell, Darcey [person]","Rosa and the special prize","","Magic ballerina","10 [Magic ballerina]","England","London","HarperCollins","2009","","94 pages, illustrations, map, 20 cm","YK.2011.a.3068","Ballerinas--Juvenile fiction ; Ballet dancing--Juvenile fiction ; Rosa (Fictitious character : Bussell)--Juvenile fiction ; Magic--Juvenile fiction ; Enchantia (Imaginary place)--Juvenile fiction","Children's fiction","English",""
"823.92","014877357","Monograph","Language material ; Text","Volume","GBA904040","9780007300334","Bussell, Darcey","","person","","Bussell, Darcey [person]","Rosa and the magic dream","","Magic ballerina","11 [Magic ballerina]","England","London","HarperCollins","2009","","94 pages, illustrations, map, 20 cm","YK.2011.a.4445","Ballerinas--Juvenile fiction ; Ballet dancing--Juvenile fiction ; Rosa (Fictitious character : Bussell)--Juvenile fiction ; Magic--Juvenile fiction ; Enchantia (Imaginary place)--Juvenile fiction","Children's fiction","English",""
"823.92","014877358","Monograph","Language material ; Text","Volume","GBA904041","9780007300341","Bussell, Darcey","","person","","Bussell, Darcey [person]","Rosa and the three wishes","","Magic ballerina","12 [Magic ballerina]","England","London","HarperCollins","2009","","94 pages, illustrations, map, 20 cm","YK.2011.a.4444","Ballerinas--Juvenile fiction ; Ballet dancing--Juvenile fiction ; Rosa (Fictitious character : Bussell)--Juvenile fiction ; Magic--Juvenile fiction ; Enchantia (Imaginary place)--Juvenile fiction","Children's fiction","English",""
"823.92","014878060","Monograph","Language material ; Text","Volume","GBA904742","9781841497334","Griffin, Kate","1986-","person","","Griffin, Kate, 1986- [person]","A madness of angels","","","","England","London","Orbit","2009","","459 pages, 20 cm","H.2009/3522","London (England)--Fiction ; Magicians--Fiction","Fantasy ; Fiction","English",""
"823.92","014878144","Monograph","Language material ; Text","Volume","GBA904826","9781847248381","King, Caro","","person","","King, Caro [person]","Seven sorcerers","","","","England","London","Quercus","2009","","371 pages, illustrations, 21 cm","Nov.2009/1349","Wizards--Juvenile fiction","Children's fiction ; Fantasy","English",""
"823.92","014889634","Monograph","Language material ; Text","Volume","GBA908606","9781847150776","Nolan, Tina","","person","","Rentta, Sharon [person] ; Nolan, Tina [person]","Willow","","Animal rescue","11 [Animal rescue]","England","London","Stripes","2009","","116 pages, illustrations, 20 cm","YK.2010.a.17459","Animal sanctuaries--Juvenile fiction ; Animal Magic (Imaginary place)--Juvenile fiction ; Kittens--Juvenile fiction","Children's fiction","English",""
"823.92","014889699","Monograph","Language material ; Text","Volume","GBA908671","9781848120235","Eglinton, Tom","","person","","Eglinton, Tom [person]","The spellbound hotel","","","","England","London","Piccadilly Press","2009","","246 pages, 20 cm","H.2009/3437","Magic--Juvenile fiction ; Hotels--Juvenile fiction","Children's fiction","English",""
"823.92","014889730","Monograph","Language material ; Text","Volume","GBA908702","9781848530003","Marcovitch, Lucy","","person","","Marcovitch, Lucy [person] ; Cemmick, Paul [person]","Danny's adventure bus","","","","England","London","Tamarind","2009","","1 volume, colour illustrations, 22 x 27 cm","LC.31.a.8197","Magic--Pictorial works--Juvenile fiction ; Buses--Pictorial works--Juvenile fiction ; Traffic congestion--Pictorial works--Juvenile fiction","Adventure ; Children's fiction ; Pictorial work","English",""
"823.92","014908620","Monograph","Language material ; Still image ; Text","Volume","GBA916933","9780141325958","Bentley, Sue","1951-","person","author","Bentley, Sue, 1951-, author [person] ; Swan, Angela, 1982-, illustrator [person]","A twinkle of hooves","","Magic pony","3 [Magic pony]","England","London","Puffin","2009","","118 pages, black and white illustrations, 20 cm","YK.2010.a.17721","Ponies--Juvenile fiction ; Magic--Juvenile fiction","Children's fiction","English",""
"823.92","014908621","Monograph","Language material ; Still image ; Text","Volume","GBA916934","9780141325965","Bentley, Sue","1951-","person","author","Bentley, Sue, 1951-, author [person] ; Swan, Angela, 1982-, illustrator [person]","Showjumping dreams","","Magic ponies","4 [Magic ponies]","England","London","Puffin","2009","","107 pages, black and white illustrations, 20 cm","YK.2009.a.26048","Ponies--Juvenile fiction ; Magic--Juvenile fiction","Children's fiction","English",""
"823.92","014908747","Monograph","Language material ; Text","Volume","GBA917060","9780224083447","Cleminson, Katie","","person","","Cleminson, Katie [person]","Box of tricks : a magical story","","","","England","London","Jonathan Cape","2009","","25 pages, chiefly colour illustrations, 28 cm","YK.2010.b.8223","Magic tricks--Pictorial works--Juvenile fiction","Children's fiction ; Pictorial work","English",""
